time,cpu,net_in,net_out,batt,net_in_wx,net_out_wx,net_in_qq,net_out_qq,fps,mem_vss,mem_rss,mem_pss,mem_uss,mem_native,mem_dalvik,mem_pss_total,batt_voltage,temperature,timeindex
2016-11-13 12:38:19,3,0,0,0,0,0,0,0,0,0,0,0,0,3.9169921875,1.5244140625,75.0234375,0,0,0
2016-11-13 12:38:20,3,0,0,0,0,0,0,0,0,0,0,0,0,3.9169921875,1.5244140625,75.0234375,0,0,0
2016-11-13 12:38:22,3,0,0,0,0,0,0,0,0,0,0,0,0,3.8935546875,1.5244140625,75,0,0,0
2016-11-13 12:38:23,3,0,0,0,0,0,0,0,0,0,0,0,0,3.8896484375,1.5244140625,75.0029296875,0,0,0
2016-11-13 12:38:24,3,0,0,0,0,0,0,0,0,0,0,0,0,3.8935546875,1.5244140625,75.0078125,0,0,0
2016-11-13 12:38:26,3,0,0,0,0,0,0,0,0,0,0,0,0,3.8935546875,1.5244140625,75.0078125,0,0,0
2016-11-13 12:38:27,4,0,0,0,0,0,0,0,0,0,0,0,0,3.8935546875,1.5244140625,75.0078125,0,0,0
2016-11-13 12:38:28,3,0,0,0,0,0,0,0,0,0,0,0,0,3.8935546875,1.5244140625,75.0078125,0,0,0
2016-11-13 12:38:30,3,0,0,0,0,0,0,0,0,0,0,0,0,3.8935546875,1.5244140625,75.0078125,0,0,0
2016-11-13 12:38:31,3,0,0,0,0,0,0,0,0,0,0,0,0,3.8935546875,1.5244140625,75.0078125,0,0,0
2016-11-13 12:38:32,3,0,0,0,0,0,0,0,0,0,0,0,0,3.8935546875,1.5244140625,75.0078125,0,0,0
2016-11-13 12:38:34,3,0,0,0,0,0,0,0,0,0,0,0,0,3.8935546875,1.5244140625,75.0078125,0,0,0
2016-11-13 12:38:35,3,0,0,0,0,0,0,0,0,0,0,0,0,3.8935546875,1.5244140625,75.0078125,0,0,0
2016-11-13 12:38:37,3,0,0,0,0,0,0,0,0,0,0,0,0,3.955078125,1.4423828125,83.0947265625,0,0,0
